start_time,end_time,o,h,l,c
2021-07-29 21:40:00,2021-07-30 01:40:00,39576.28,40419.3,39500.0,39996.41
2021-07-30 01:40:00,2021-07-30 05:40:00,39996.42,40250.0,39615.0,39768.44
2021-07-30 05:40:00,2021-07-30 09:40:00,39770.21,39882.97,38313.23,38481.93
2021-07-30 09:40:00,2021-07-30 13:40:00,38481.94,38971.65,38452.97,38901.01
2021-07-30 13:40:00,2021-07-30 17:40:00,38901.01,39201.97,38831.23,38994.98
2021-07-30 17:40:00,2021-07-30 21:40:00,38994.98,41600.0,38877.59,41342.04
2021-07-30 21:40:00,2021-07-31 01:40:00,41342.05,42448.0,40908.6,41884.01
2021-07-31 01:40:00,2021-07-31 05:40:00,41884.01,42199.24,41181.0,41451.26
2021-08-05 05:40:00,2021-08-05 09:40:00,39381.31,39393.36,37993.58,38016.36
2021-08-05 09:40:00,2021-08-05 13:40:00,38016.99,38252.14,37332.7,37867.15
2021-08-05 13:40:00,2021-08-05 17:40:00,37867.15,40378.83,37700.28,40288.06
2021-08-05 17:40:00,2021-08-05 21:40:00,40288.05,41350.0,40229.39,41041.62
2021-08-05 21:40:00,2021-08-06 01:40:00,41041.62,41142.95,39900.39,40353.82
2021-08-06 01:40:00,2021-08-06 05:40:00,40353.82,40749.28,39853.86,40398.73
2021-08-06 05:40:00,2021-08-06 09:40:00,40398.73,41199.99,40375.77,40678.55
2021-08-06 09:40:00,2021-08-06 13:40:00,40678.97,41065.45,40300.0,40929.99
2021-08-06 13:40:00,2021-08-06 17:40:00,40929.99,43210.52,40649.89,42856.89
2021-08-06 17:40:00,2021-08-06 21:40:00,42856.83,43392.43,42450.0,42669.33
2021-08-06 21:40:00,2021-08-07 01:40:00,42669.33,43278.0,42393.02,43100.05
2021-08-07 01:40:00,2021-08-07 05:40:00,43100.04,43930.4,42980.89,43530.95
2021-08-07 05:40:00,2021-08-07 09:40:00,43530.95,43786.55,43040.0,43731.81
2021-08-07 09:40:00,2021-08-07 13:40:00,43731.81,44555.0,43000.0,43543.28
2021-08-07 13:40:00,2021-08-07 17:40:00,43543.28,43765.08,42446.41,43336.59
2021-08-07 17:40:00,2021-08-07 21:40:00,43336.58,44348.09,43245.59,44145.44
2021-08-07 21:40:00,2021-08-08 01:40:00,44145.44,44776.0,43470.0,43943.01
2021-08-08 01:40:00,2021-08-08 05:40:00,43943.02,44650.0,43785.0,44628.87
2021-08-08 05:40:00,2021-08-08 09:40:00,44628.86,45310.0,44405.69,44745.27
2021-08-08 09:40:00,2021-08-08 13:40:00,44745.26,45198.27,44071.82,44752.88
2021-08-08 13:40:00,2021-08-08 17:40:00,44752.88,44854.47,43519.51,43853.72
2021-08-08 17:40:00,2021-08-08 21:40:00,43853.73,44270.0,43261.0,44111.46
2021-08-08 21:40:00,2021-08-09 01:40:00,44114.52,44581.0,42779.0,43256.89
2021-08-09 01:40:00,2021-08-09 05:40:00,43256.9,43734.02,43025.0,43500.0
2021-08-09 05:40:00,2021-08-09 09:40:00,43500.01,44750.0,43263.21,44659.06
2021-08-09 09:40:00,2021-08-09 13:40:00,44659.06,46048.5,44573.32,45862.64
2021-08-09 13:40:00,2021-08-09 17:40:00,45862.63,46250.0,45254.11,45827.76
2021-08-09 17:40:00,2021-08-09 21:40:00,45827.76,46454.15,44900.0,45790.44
2021-08-09 21:40:00,2021-08-10 01:40:00,45790.44,46700.0,45635.34,45966.13
2021-08-10 01:40:00,2021-08-10 05:40:00,45966.12,46123.34,45407.22,45682.42
2021-08-14 13:40:00,2021-08-14 17:40:00,46419.99,46985.19,46350.0,46809.69
2021-08-14 17:40:00,2021-08-14 21:40:00,46809.69,47374.67,46331.28,46971.9
2021-08-14 21:40:00,2021-08-15 01:40:00,46971.9,47372.27,46827.25,47227.99
2021-08-15 01:40:00,2021-08-15 05:40:00,47228.0,47329.92,46450.0,46707.54
2021-08-15 05:40:00,2021-08-15 09:40:00,46707.54,46773.13,45519.0,45949.87
2021-08-15 09:40:00,2021-08-15 13:40:00,45949.87,46167.26,45650.16,45788.34
2021-08-15 13:40:00,2021-08-15 17:40:00,45788.35,46498.89,45500.0,45906.15
2021-08-15 17:40:00,2021-08-15 21:40:00,45906.14,46900.0,45835.76,46663.47
2021-08-15 21:40:00,2021-08-16 01:40:00,46663.47,47800.0,46657.01,47609.06
2021-08-16 01:40:00,2021-08-16 05:40:00,47609.07,48053.83,47291.44,47449.06
2021-08-16 05:40:00,2021-08-16 09:40:00,47449.05,47719.3,47000.0,47111.25
2021-08-16 09:40:00,2021-08-16 13:40:00,47111.25,47709.12,46570.0,46682.15
2021-08-16 13:40:00,2021-08-16 17:40:00,46680.0,46700.0,45951.73,46310.3
2021-08-16 17:40:00,2021-08-16 21:40:00,46310.29,46666.0,45660.0,46181.04
2021-08-16 21:40:00,2021-08-17 01:40:00,46181.04,46337.62,45239.45,46199.99
2021-08-17 01:40:00,2021-08-17 05:40:00,46199.99,46620.0,46030.01,46317.8
2021-08-17 05:40:00,2021-08-17 09:40:00,46317.8,46842.16,45636.97,46684.99
2021-08-17 09:40:00,2021-08-17 13:40:00,46684.98,47160.0,46280.0,46496.11
2021-08-17 13:40:00,2021-08-17 17:40:00,46496.12,46581.0,45532.33,45857.29
2021-08-17 17:40:00,2021-08-17 21:40:00,45859.41,46222.4,44537.03,44930.82
2021-08-17 21:40:00,2021-08-18 01:40:00,44930.83,45031.56,44203.28,44844.83
2021-08-18 01:40:00,2021-08-18 05:40:00,44844.83,45371.5,44278.18,45299.03
2021-08-18 05:40:00,2021-08-18 09:40:00,45299.04,45500.0,44853.8,45364.65
2021-08-18 09:40:00,2021-08-18 13:40:00,45364.65,45560.0,44650.0,45192.6
2021-08-18 13:40:00,2021-08-18 17:40:00,45192.61,45969.99,45086.59,45777.8
